RegioNaam;VVD;Partij van de Arbeid;PVV;SP;CDA;Democraten 66;ChristenUnie;GROENLINKS;Staatkundig Gereformeerde Partij;Partij voor de Dieren;50PLUS;Piratenpartij;Partij voor Mens en Spirit;SOPN;Partij van de Toekomst;Democratisch Politiek Keerpunt DPK;Libertarische Partij;Nederland Lokaal;Liberaal Democratische Partij;Anti Europa Partij;Politieke Partij NXD
Bodegraven-Reeuwijk;0.35985933182617436;0.13669932177844762;0.08173825671941723;0.04270283848279327;0.11986937955287616;0.06254709871891484;0.0630997236875157;0.01738256719417232;0.08038181361466969;0.013715146948003014;0.014971112785732228;0.0022104998744034163;0.0013062044712383823;0.0007535795026375283;0.0006028636021100226;0.0010550113036925397;0.00035167043456417983;0.0002009545340366742;0.0001004772670183371;0.000452147701582517;0.0
Boekel;0.30709931875224095;0.14861957690928648;0.09662961634994621;0.17013266403728936;0.1597346719254213;0.058085335245607744;0.0030476873431337396;0.010756543564001434;0.0005378271782000717;0.013266403728935103;0.023664395840803154;0.002509860164933668;0.0014342058085335247;0.0008963786303334528;0.002151308712800287;0.00017927572606669058;0.0005378271782000717;0.0005378271782000717;0.00017927572606669058;0.0;0.0
Bonaire;0.20846905537459284;0.2391810144253141;0.03257328990228013;0.056305258259655655;0.1931130758492322;0.11493718008375989;0.05165193113075849;0.02047463936714751;0.004187994416007445;0.027454630060493253;0.023266635644485806;0.0;0.0;0.0;0.0;0.0018613308515588647;0.003257328990228013;0.00604932526756631;0.0;0.0172173103769195;0.0
Borger-Odoorn;0.23218101822752985;0.3512884978001257;0.08680075424261471;0.09874292897548712;0.08277812696417347;0.04808296668761785;0.03588937774984287;0.015587680703959774;0.0056568196103079825;0.01684475172847266;0.014519170333123822;0.0029541169076052797;0.003016970458830924;0.003016970458830924;0.001005656819610308;0.0008799497171590194;0.00018856065367693276;0.00018856065367693276;0.0;0.0003771213073538655;0.0
Borne;0.2507317824680327;0.24310583885379758;0.07941765521491295;0.10360499152672932;0.18741334154983824;0.07533507934062549;0.012247727622862425;0.01455861962717609;0.001309505469111077;0.008781389616391928;0.014866738561084579;0.002619010938222154;0.0025419812047450317;0.001386535202588199;0.0003081189339084887;0.0012324757356339548;0.00023108920043136651;0.0003081189339084887;0.0;0.0;0.0
Borsele;0.23439969890854348;0.1888596161083929;0.0933383515242755;0.08370342491531803;0.11305984192698532;0.04636808430560783;0.029808054196462177;0.014904027098231088;0.15905156191193076;0.01580730146782085;0.01264584117425668;0.001881821603312006;0.0018065487391795258;0.001279638690252164;0.0009785472337222431;0.0006774557771923222;0.0003763643206624012;0.000602182913059842;0.00045163718479488145;0.0;0.0
Boskoop;0.362089914945322;0.1641444824919916;0.08737435104385287;0.05280017673699326;0.107920026510549;0.07279354909974595;0.04882359438860046;0.018446923671711035;0.039434441621561914;0.017563238705401524;0.017231856843035458;0.002430133657351154;0.002540594278139843;0.00187783055340771;0.0014359880702529547;0.0013255274494642659;0.00022092124157737766;0.00033138186236606647;0.0006627637247321329;0.0005523031039434442;0.0
Boxmeer;0.24416726989253298;0.14739128013809233;0.07015980845258644;0.31594186758728215;0.12005122779664792;0.05646194108803385;0.004287543849880283;0.012862631549640848;0.0008352358149117434;0.00885349963806448;0.012806949161980066;0.0016704716298234867;0.001002282977894092;0.0018932011804666184;0.000501141488947046;0.00033409432596469735;0.000556823876607829;0.0;0.00011136477532156579;0.00011136477532156579;0.0
Boxtel;0.2599188855581026;0.24316698994886263;0.09022512196555575;0.1576441544701111;0.08999000764121554;0.08487627108681596;0.005877858108505261;0.02098395344736378;0.0008816787162757891;0.014459530946922941;0.023864103920531357;0.003585493446188209;0.0015282431082113677;0.0008816787162757891;0.0011755716217010522;0.00023511432434021042;0.00029389290542526306;0.00023511432434021042;0.00011755716217010521;5.8778581085052606e-05;0.0
Breda;0.3062282669080883;0.23767000678998373;0.09043023806094524;0.11308409291989877;0.06492664759984362;0.10826937717330919;0.006450484557930907;0.023816382378963396;0.0013991481656756035;0.018312380403695396;0.01893993950741754;0.004228308059504949;0.0025822513940042388;0.001368284603197465;0.0007818769161128372;0.0006172712495627663;0.00040122631221579805;0.00013374210407193267;0.00026748420814386533;9.259068743441493e-05;0.0
Brielle;0.35619007919966655;0.19737390579408087;0.13995414756148394;0.09420591913297208;0.06408920383493122;0.06502709462275948;0.011879949979157983;0.01385994164235098;0.0035431429762401;0.020737807419758232;0.024385160483534805;0.0022926219258024177;0.0013547311379741558;0.001563151313047103;0.001563151313047103;0.0007294706127553147;0.0003126302626094206;0.00020842017507294707;0.00020842017507294707;0.0005210504376823677;0.0
Bronckhorst;0.30477388024107877;0.24762606772752893;0.06868143780080649;0.0895373542037029;0.14325976672592464;0.06963534665915103;0.017950830334301695;0.016043012617612627;0.008325022763734119;0.014351992368729133;0.013354724016823484;0.001257425313272341;0.002514850626544682;0.0012140658197112258;0.0005636734162944977;0.00043359493561115207;0.00017343797424446082;8.671898712223041e-05;0.00017343797424446082;4.3359493561115205e-05;0.0
Brummen;0.2790752909508352;0.3081307893278442;0.09072915841976091;0.09278758609769615;0.07552846172116222;0.07529095083524662;0.013379779906579051;0.019950914416910773;0.0031668118122080593;0.017496635262449527;0.01646742142348191;0.0020584276779352386;0.0026917900403768506;0.0009500435436624178;0.0005541920671364104;0.0007125326577468134;0.0004750217718312089;7.917029530520149e-05;0.00023751088591560446;0.00023751088591560446;0.0
Brunssum;0.1533566656061088;0.24307986000636334;0.2407890550429526;0.16983773464842508;0.06808781419026408;0.04320712694877506;0.01234489341393573;0.01279032771237671;0.001145402481705377;0.020617244670696786;0.023608017817371936;0.002545338848234171;0.002545338848234171;0.0026089723194400254;0.001145402481705377;0.001145402481705377;0.0003181673560292714;0.0003818008272351257;0.00019090041361756284;0.0002545338848234171;0.0
Bunnik;0.3144849785407725;0.21244635193133046;0.05783261802575107;0.05536480686695279;0.1128755364806867;0.11630901287553648;0.022210300429184548;0.050643776824034335;0.01427038626609442;0.017811158798283263;0.018562231759656652;0.0023605150214592273;0.0022532188841201716;0.0006437768240343348;0.0009656652360515021;0.000536480686695279;0.0003218884120171674;0.0;0.00010729613733905579;0.0;0.0
Bunschoten;0.2826890756302521;0.06487394957983193;0.0784873949579832;0.025210084033613446;0.14890756302521008;0.017058823529411765;0.2856302521008403;0.0031932773109243696;0.07453781512605041;0.006050420168067227;0.008571428571428572;0.001176470588235294;0.0010084033613445378;0.0003361344537815126;0.0009243697478991597;0.0010084033613445378;8.403361344537815e-05;0.0;8.403361344537815e-05;0.0001680672268907563;0.0
Buren;0.35523036615758197;0.20339957824781135;0.1244807974950476;0.05757556393379769;0.06684133171448654;0.0649242763115854;0.023004664834813726;0.013355485973544636;0.04984344047542974;0.017700811553453894;0.017573007859927152;0.0021726627899546296;0.000830724007923829;0.000830724007923829;0.0013419387820308008;0.0003195092338168573;0.0003195092338168573;6.390184676337147e-05;6.390184676337147e-05;0.00012780369352674293;0.0
Bussum;0.3967337079241716;0.2014388489208633;0.06180748831591661;0.053562989024838525;0.059969542614083916;0.12918132647166938;0.01496612928635194;0.02594129076301003;0.004095993278370005;0.0264664181063908;0.016646536785170404;0.003623378669327312;0.00225804757653731;0.0012077928897757707;0.0005251273433807698;0.0005776400777188468;0.0003675891403665389;0.0002625636716903849;0.0003150764060284619;5.251273433807698e-05;0.0
Capelle aan den IJssel;0.2652355362451406;0.23576492110679168;0.13414703864623828;0.07963640521381203;0.05082323347816144;0.06508689686713927;0.040018294077292474;0.0138348959524354;0.05545392179281958;0.025011433798307798;0.025440201234850218;0.0033158015092613767;0.00228675966155957;0.0014006402927052367;0.0006574434026983764;0.0008003658815458495;0.0004287674365424194;0.00025726046192545165;0.000228675966155957;0.00017150697461696776;0.0
Castricum;0.34620380739081746;0.23435610302351623;0.06347144456886898;0.07789473684210527;0.0889585666293393;0.09809630459126539;0.007435610302351623;0.02956326987681971;0.001433370660694289;0.022665173572228442;0.018275475923852185;0.003135498320268757;0.003001119820828667;0.0009406494960806271;0.0007166853303471445;0.0008062709966405376;0.0002687569988801792;0.0025979843225083987;8.958566629339306e-05;8.958566629339306e-05;0.0
Coevorden;0.27370387669313406;0.3120504437178888;0.08776272769733769;0.08468005604857544;0.11503970107426437;0.05095749649696404;0.02223260158804297;0.01373190098085007;0.0059318075665576835;0.012517515179822513;0.01391872956562354;0.0018215787015413358;0.0018682858477347033;0.0015413358243811302;0.0008407286314806165;0.0006539000467071462;0.0003269500233535731;4.6707146193367584e-05;0.00018682858477347034;0.00018682858477347034;0.0
Cranendonck;0.30398018448923814;0.1787666552784421;0.13238811069354287;0.14144174923129485;0.1203450632046464;0.0590194738640246;0.0032456440040997607;0.010847283908438674;0.0014519986334130509;0.01255551759480697;0.027331738981892725;0.003160232319781346;0.0010249402118209772;0.0014519986334130509;0.0012811752647762214;0.001110351896139392;0.00017082336863682952;0.0002562350529552443;0.00017082336863682952;0.0;0.0
Cromstrijen;0.33224346076458755;0.20787223340040242;0.10978370221327968;0.06375754527162977;0.07997987927565392;0.05696680080482897;0.031312877263581486;0.01056338028169014;0.0625;0.02112676056338028;0.017857142857142856;0.0013832997987927565;0.0012575452716297787;0.00025150905432595576;0.0012575452716297787;0.0005030181086519115;0.0007545271629778672;0.0;0.00025150905432595576;0.0003772635814889336;0.0
Cuijk;0.2493905062383479;0.2161910225154166;0.08877097375591568;0.22508246092069412;0.09888139968449734;0.06733113437544816;0.00286820593718629;0.01591854295138391;0.0004302308905779435;0.011544528897174817;0.016277068693532196;0.0024379750466083463;0.0013623978201634877;0.0007170514842965725;0.0010755772264448588;0.0007887566327262297;0.000573641187437258;0.00021511544528897175;0.0001434102968593145;0.0;0.0
Culemborg;0.27516607051609604;0.26552120592743994;0.10615738375063874;0.08137455288707204;0.0635539090444558;0.08642054164537558;0.021780786918753195;0.040304036791006644;0.010283597342871742;0.02120592743995912;0.018970362800204393;0.003321410321921308;0.00300204394481349;0.0004471129279509453;0.0010858456821665815;0.000510986203372509;0.0002554931016862545;0.0003832396525293817;0.00019161982626469086;6.387327542156362e-05;0.0
Dalfsen;0.2644904178632128;0.19428002109828282;0.05673093828752271;0.0712653109066401;0.19697591279376428;0.05368340854480455;0.09769677079059955;0.013186426771376663;0.02379417452968411;0.009201195569360604;0.012776182382933833;0.0015823712125651996;0.0009963078005040145;0.0008790951180917776;0.0009963078005040145;0.0005274570708550666;0.00041024438844282954;0.0002930317060305925;5.86063412061185e-05;0.0001758190236183555;0.0
Dantumadiel;0.1206649982123704;0.2781551662495531;0.08687879871290669;0.09823024669288523;0.19333214158026457;0.02484805148373257;0.10618519842688595;0.008401859134787273;0.05979621022524133;0.010100107257776188;0.008491240614944584;0.0018770110833035395;0.0009831962817304254;0.0005362888809438684;0.0007150518412584912;0.0003575259206292456;0.0001787629603146228;0.0;8.93814801573114e-05;0.0001787629603146228;0.0
De Bilt;0.3300078760829614;0.20245283726512395;0.06424633387090725;0.06390878745827551;0.07456025203465476;0.11862881146157597;0.0308292390203653;0.036567528035104824;0.03101676480516071;0.02242808386153096;0.017702434084686646;0.002662866144094813;0.0025503506732175675;0.0010126392378952105;0.0005250721974271463;0.000300041255672655;0.000300041255672655;0.0001500206278363275;3.7505156959081875e-05;0.00011251547087724562;0.0
De Marne;0.1736441484300666;0.3074849349825563;0.07373929590865842;0.11909292737075801;0.11941008563273073;0.044560735807167774;0.07453219156359023;0.030130034887408817;0.010307643514113543;0.02521408182683159;0.013954963526799874;0.0020615287028227084;0.0017443704408499842;0.0011100539169045353;0.0006343165239454488;0.000792895654931811;0.0001585791309863622;0.0003171582619727244;0.0;0.0011100539169045353;0.0
De Ronde Venen;0.44845994315999693;0.14847530532298947;0.08195713956525079;0.043628542898840154;0.09105922113833628;0.08261003149243414;0.028573623166141794;0.018396190183577847;0.014862892695291497;0.01490129810277287;0.019164298333205314;0.0025731623012520163;0.0017666487441431753;0.0009217297795529611;0.0007681081496274675;0.0008449189645902143;0.00038405407481373376;0.00023043244488824027;0.00023043244488824027;0.00019202703740686688;0.0
De Wolden;0.3444161415739375;0.23280600616704653;0.06958037270411584;0.060262769808285294;0.13366403003083524;0.06522322027081379;0.03237699423515217;0.018300040219868616;0.008513205523528623;0.015685748759887385;0.010859364526075882;0.002010993430754793;0.002279125888188765;0.0015417616302453412;0.00046923180050945166;0.0010054967153773965;0.0005362649148679448;0.0002681324574339724;0.0001340662287169862;6.70331143584931e-05;0.0
Delft;0.21786567899432574;0.26805816562973234;0.09283146928424164;0.08310678903099857;0.054626065062307286;0.15240197777737233;0.026619715740115676;0.0438249192650842;0.005838457187688153;0.024120126256636683;0.01815395281796785;0.007006148625225784;0.0020799503731139045;0.0011312010801145798;0.0006203360761918663;0.0004926198252111879;0.0006750716123264428;0.00021894214453830574;0.00014596142969220384;0.0001824517871152548;0.0
Delfzijl;0.17559144354724465;0.36931576710582237;0.10058081881286302;0.11878453038674033;0.08747697974217311;0.03598243377248902;0.05121121971950701;0.011049723756906077;0.004604051565377533;0.01827454313642159;0.01841620626151013;0.004108230627567644;0.0009916418756197763;0.0012749681257968552;0.0006374840628984276;0.0004958209378098881;0.0005666525003541578;0.00021249468763280918;0.00014166312508853945;0.0002833262501770789;0.0
Den Helder;0.30546058091286304;0.2162655601659751;0.14336929460580913;0.09135269709543568;0.06595850622406639;0.053145228215767636;0.0336597510373444;0.012647302904564315;0.007734439834024896;0.024431535269709544;0.03389211618257262;0.003983402489626556;0.0020580912863070538;0.001892116182572614;0.0013609958506224065;0.0013278008298755186;0.0002987551867219917;0.0006307053941908714;0.00016597510373443983;0.0003651452282157676;0.0
Deurne;0.3220461898917773;0.17561084458328685;0.10710699542563874;0.1517906950797724;0.12942095280598015;0.05968983599241325;0.003402878500502064;0.011380118263974115;0.0010599129755662167;0.01004128082115363;0.020528840789914092;0.002398750418386701;0.0017851165904273123;0.0011714827624679236;0.0007809885083119491;0.0006694187214102421;0.0008925582952136561;5.578489345085351e-05;0.00016735468035256051;0.0;0.0
Deventer;0.2136290967226219;0.34083642177167356;0.0758847467480561;0.1005922534699513;0.06994404476418865;0.09654094905893466;0.023344960395320108;0.03310079209359785;0.002688758084441538;0.018748637453673424;0.015551195407310515;0.0033791148899062567;0.002034735847685488;0.001199040767386091;0.0007266913741733886;0.000763025942882058;0.0003270111183780249;0.00016350555918901244;0.0002906765496693554;0.000254341980960686;0.0
Diemen;0.264801023094862;0.30294139772812756;0.09899947340705635;0.09207853757616791;0.038441284886782515;0.09245467539306401;0.011961182577296321;0.0336267208305123;0.00105318588730911;0.026480102309486196;0.025652599112314753;0.0045136538027533285;0.0014293237042052208;0.001504551267584443;0.0012788685774467764;0.0012788685774467764;0.0007522756337922215;0.00022568269013766644;0.00030091025351688857;0.00022568269013766644;0.0
Dinkelland;0.3230884091333292;0.15802899272071175;0.08050768369315;0.07453493436197349;0.2609967025446401;0.054936850619050584;0.005599452497977975;0.00827474646923412;0.0016176196105269706;0.007777017358302744;0.01698500591053319;0.001368755055061283;0.001182106638462017;0.00223978099919119;0.00018664841659926586;0.0008710259441299073;0.00018664841659926586;0.0015554034716605488;0.0;6.221613886642194e-05;0.0
Dirksland;0.22969467172221114;0.14867291957693074;0.11295150668529236;0.06425863101177409;0.08501297146278187;0.022550389143883458;0.07004589902215126;0.006585511873877469;0.22570345240470963;0.011175414089004191;0.014567950508880463;0.002394731590500898;0.001995609658750748;0.000997804829375374;0.0013969267611255239;0.0013969267611255239;0.0;0.0;0.00019956096587507485;0.0003991219317501497;0.0
Doesburg;0.20500296033155713;0.31216696269982236;0.09709887507400829;0.1549733570159858;0.07297217288336294;0.07504440497335702;0.016873889875666074;0.019982238010657193;0.003256364712847839;0.018798105387803434;0.013617525162818236;0.003256364712847839;0.002220248667850799;0.0011841326228537595;0.0011841326228537595;0.0005920663114268798;0.0007400828892835998;0.00014801657785671994;0.0002960331557134399;0.0005920663114268798;0.0
Doetinchem;0.2372303153236216;0.31384842338189195;0.08952609256868892;0.11297559776261602;0.08593029688364374;0.07498924334624132;0.01862437765074682;0.01973077632306841;0.010357120904788247;0.016227180527383367;0.013338250660765874;0.0023357305304566966;0.0017825311942959;0.0011678652652283483;0.0005531993361607966;0.0006146659290675518;0.00012293318581351037;0.00024586637162702074;0.00012293318581351037;0.0002765996680803983;0.0
Dongen;0.2959233620026572;0.23459897909237115;0.10460806936577861;0.12768337878470037;0.0942591427172925;0.07370113978043494;0.010978253269002168;0.012027130969862247;0.0026571568421788687;0.015243689252499824;0.02111740437731627;0.0016782043213761275;0.001398503601146773;0.0004195510803440319;0.0012586532410320957;0.0012586532410320957;0.0004195510803440319;0.00034962590028669323;0.0002797007202293546;0.0001398503601146773;0.0
Dongeradeel;0.15209876543209877;0.2601058201058201;0.07308641975308643;0.101657848324515;0.2288536155202822;0.04148148148148148;0.08529100529100529;0.012204585537918871;0.0145326278659612;0.01291005291005291;0.010017636684303352;0.0016931216931216932;0.002328042328042328;0.0008465608465608466;0.0008465608465608466;0.0010582010582010583;0.0004938271604938272;7.054673721340387e-05;0.00021164021164021165;0.00021164021164021165;0.0
Dordrecht;0.22745977697806896;0.2654961511772395;0.12567979731147225;0.09669662885083996;0.06159730178966224;0.06687430406506689;0.04518534058450466;0.022883147481724143;0.03174270176061452;0.025432891700421192;0.022011715913308697;0.0032759371923765873;0.0016783126502816015;0.0012748721093485242;0.0007746058385915083;0.0007907434602288315;0.0005486791356689851;6.455048654929236e-05;0.00029047718947181566;0.00024206432455984637;0.0
Drechterland;0.38830205150589264;0.18629419467481448;0.08677433435181144;0.07341772151898734;0.10152771715408118;0.06765604539502401;0.0068092536010475775;0.01894369271060672;0.0014840680925360104;0.018332605848974247;0.03902226102138804;0.003753819292885203;0.0014840680925360104;0.002357049323439546;0.001396769969445657;0.001571366215626364;8.729812309035356e-05;0.00034919249236141424;0.00026189436927106065;0.00017459624618070712;0.0
Drimmelen;0.3272632334704001;0.20174923307878076;0.11879120161869329;0.11683310488871483;0.08870178186802428;0.07133999086221526;0.006200639644931793;0.014946805038835585;0.001892826838979179;0.015860583512825533;0.027543894001697017;0.0028718752039684093;0.002088636511977025;0.0015664773839827687;0.0011748580379870766;0.0006526989099928203;0.00019580967299784609;0.0;0.00013053978199856407;0.00019580967299784609;0.0
Dronten;0.3602829492687584;0.1709412836870199;0.09256607212602526;0.06791650392744;0.11426463568111792;0.059280475632513124;0.06375037972486221;0.016013539903658378;0.012541769734843554;0.013887080675259298;0.018617367530269498;0.002256650609729636;0.0023868419910601916;0.002820813262162045;0.0005207655253222236;0.0010415310506444472;0.00021698563555092653;0.00021698563555092653;0.0001301913813305559;0.00034717701688148243;0.0
