RegioNaam;CDA;Partij van de Arbeid;SP;VVD;PVV;GL;ChristenUnie;Democraten 66;Partij voor de Dieren;Staatkundig Gereformeerde Partij;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamaras Open Partij
Haarlem;0.1759029875227656;0.23475978778520604;0.2032782434587844;0.15153674732186287;0.05058766303548602;0.08174115677424464;0.02329159172407552;0.031888779538693;0.032318638929423875;0.0014140111537199805;0.005508987454893044;0.001527132046017579;0.002760149772061402;0.0007239737107046301;0.0003846110338118347;0.0;0.00011312089229759844;0.0007918462460831891;0.0006674132645558309;0.0003732989445820749;0.00015836924921663783;0.0;0.0;0.00027149014151423625
Haarlemmerliede en Spaarnwoude;0.3028409090909091;0.14857954545454546;0.12386363636363637;0.22471590909090908;0.07215909090909091;0.04943181818181818;0.01818181818181818;0.01960227272727273;0.022443181818181817;0.0022727272727272726;0.006818181818181818;0.003409090909090909;0.0017045454545454545;0.0008522727272727272;0.0005681818181818182;0.0;0.0002840909090909091;0.0011363636363636363;0.0005681818181818182;0.0;0.0;0.0;0.0;0.0005681818181818182
Haarlemmermeer;0.27518530893071486;0.1671059632970759;0.12336191855069235;0.24028906955736223;0.06619148383264654;0.037779510215193476;0.03045377485738328;0.0179802254643551;0.02149459850762891;0.005952159978220787;0.007387608122656569;0.0025986561235475368;0.001559193674128522;0.0006063530954944253;0.0004949821187709594;0.0;0.0002474910593854797;0.0005939785425251513;0.0002474910593854797;0.0002351165064162057;6.187276484636992e-05;0.0;0.0;0.0001732437415698358
Haelen;0.34552102376599636;0.1489114176499917;0.1643676250623234;0.13711151736745886;0.12448063819178992;0.030912414824663455;0.013794249626059497;0.007811201595479475;0.016619577862722286;0.0008309788931361143;0.0029915240152900116;0.002659132458035566;0.00232674090078112;0.0006647831145088915;0.00016619577862722287;0.0;0.00016619577862722287;0.0;0.0;0.0006647831145088915;0.0;0.0;0.0;0.0
Halderberge;0.318624344720318;0.18445763004781382;0.18854772740365228;0.1586496918025232;0.07961288092632064;0.021890661904487584;0.01227029206751541;0.009735583846995795;0.012500720087562648;0.0009793190852007605;0.005760700501180944;0.003571634310732185;0.0008064980701653321;0.0010945330952243793;0.0;0.00023042802004723774;0.0003456420300708566;0.000518463045106285;0.00023042802004723774;0.0001728210150354283;0.0;0.0;0.0;0.0
Hardenberg;0.3939617486338798;0.17680327868852458;0.12016393442622951;0.09060109289617486;0.032076502732240435;0.016366120218579236;0.13721311475409836;0.0056830601092896175;0.008087431693989072;0.011202185792349727;0.00273224043715847;0.002377049180327869;0.001010928961748634;0.0002185792349726776;0.0003825136612021858;0.0;0.0001912568306010929;0.0007923497267759563;0.0001092896174863388;0.0;2.73224043715847e-05;0.0;0.0;0.0
Harderwijk;0.35891515341264874;0.1433155917345022;0.11048058860363182;0.1410457107075767;0.04567157169693175;0.0322871008140263;0.10699749530369443;0.01776768941765811;0.014597683155917345;0.018980901690670005;0.005165936130244208;0.0015654351909830933;0.00117407639323732;0.00019567939887288666;0.000821853475266124;0.000352222917971196;7.827175954915466e-05;0.000234815278647464;0.00015654351909830932;0.00019567939887288666;0.0;0.0;0.0;0.0
Hardinxveld-Giessendam;0.28398738612473723;0.13419761737911703;0.07927470217238963;0.08584442887175893;0.04879117028731605;0.01059915907498248;0.1753679046951647;0.0042922214435879465;0.008321653819201122;0.16152768044849333;0.005080588647512264;0.0013139453398738612;0.0005255781359495446;8.759635599159075e-05;8.759635599159075e-05;0.0;0.000350385423966363;0.0;8.759635599159075e-05;0.0001751927119831815;8.759635599159075e-05;0.0;0.0;0.0
Haren;0.22253411306042886;0.2376608187134503;0.10690058479532163;0.19789473684210526;0.02401559454191033;0.0839766081871345;0.06385964912280702;0.0338401559454191;0.01793372319688109;0.004132553606237817;0.003976608187134503;0.00101364522417154;0.0008576998050682261;0.0005458089668615984;0.0003118908382066277;0.0;0.00023391812865497077;0.0;0.00023391812865497077;7.797270955165692e-05;0.0;0.0;0.0;0.0
Harenkarspel;0.3446172613601708;0.14364135407136322;0.15319711294093727;0.19243671851174138;0.0626207176984853;0.04310257192233404;0.014740266341364237;0.01555352241537054;0.017688319609637085;0.0004066280370031514;0.005997763545796482;0.0023381112127681203;0.0014231981295110298;0.0008132560740063028;0.0003049710277523635;0.0;0.0003049710277523635;0.0005082850462539392;0.0003049710277523635;0.0;0.0;0.0;0.0;0.0
Harlingen;0.21627318718381114;0.2856239460370995;0.20720910623946037;0.11994097807757167;0.04437183811129848;0.037731871838111296;0.04995784148397976;0.012015177065767284;0.018022765598650927;0.0010539629005059021;0.002424114671163575;0.0018971332209106238;0.0008431703204047217;0.0009485666104553119;0.0006323777403035413;0.0;0.00021079258010118043;0.0005269814502529511;0.0;0.00031618887015177064;0.0;0.0;0.0;0.0
Hattem;0.2891086565630619;0.23208322630362188;0.10210634472129464;0.10711533521705625;0.02594400205497046;0.021577189827896224;0.17878243000256872;0.013871050603647572;0.010788594913948112;0.013871050603647572;0.0017980991523246853;0.0008990495761623426;0.00012843565373747752;0.0003853069612124326;0.00012843565373747752;0.0005137426149499101;0.00012843565373747752;0.0005137426149499101;0.0;0.00025687130747495504;0.0;0.0;0.0;0.0
Heel;0.33427476296146863;0.1623966108533387;0.18761347589267702;0.13032075852330038;0.11962880774662094;0.025015130119023603;0.008876336493847085;0.008271131732902965;0.013314504740770627;0.00040346984062941297;0.00342949364535001;0.0018156142828323583;0.0024208190437764775;0.0006052047609441194;0.0006052047609441194;0.0;0.00020173492031470649;0.0;0.0;0.0008069396812588259;0.0;0.0;0.0;0.0
Heemskerk;0.2703405136337606;0.20633452270825073;0.18360424650896437;0.15488304479978857;0.0647989075371129;0.04625346901017576;0.0221135632791507;0.01475705916038941;0.020131271750143166;0.001541782300339192;0.00629928196995727;0.0026871062948768776;0.0018501387604070306;0.001497731377472358;0.0011012730716708516;0.0;0.0001321527686005022;0.0007929166116030131;0.0002202546143341703;0.0001321527686005022;4.405092286683406e-05;0.0;0.0;0.00048456015153517464
Heemstede;0.2768754833720031;0.15378666190731155;0.10077934439883396;0.2786602415372717;0.030876316259146885;0.06020584210839431;0.022190493188173004;0.03521922779463383;0.03022190493188173;0.0014278065322148848;0.004699863168540663;0.0011898387768457374;0.0010708548991611637;0.0005354274495805819;0.00029745969421143435;0.0;0.00011898387768457374;0.0006544113272651555;0.0010113629603188767;5.949193884228687e-05;5.949193884228687e-05;0.0;0.0;5.949193884228687e-05
Heerde;0.34964916730070167;0.21582551356834898;0.09079381181841238;0.1035590497928819;0.038380251923239496;0.019190125961619748;0.13373911573252176;0.008200185983599628;0.015554991968890016;0.018513821962972354;0.00253613999492772;0.001606221996787556;0.0006763039986473921;0.00033815199932369603;0.000591765998816468;0.00016907599966184801;8.453799983092401e-05;0.000253613999492772;0.00033815199932369603;0.0;0.0;0.0;0.0;0.0
Heerenveen;0.1982239726536375;0.35606004310024525;0.16244333803968194;0.13037824180723787;0.02872111168908375;0.037749869956156645;0.04484654826484358;0.017500185776919076;0.014973619677491268;0.0015605261202348221;0.0034926060786207923;0.0015976815040499369;0.0006316415248569518;0.0006687969086720666;0.0003715538381511481;0.0;0.00022293230289068886;0.0004458646057813777;0.0;0.00011146615144534443;0.0;0.0;0.0;0.0
Heerhugowaard;0.27340110842881915;0.19190098942572506;0.17367651558940533;0.17887865084492197;0.06242562306619972;0.041549080276087176;0.025738669205399342;0.017068443779538266;0.020366529529767773;0.00125803270885043;0.005950154704022305;0.002550066301723845;0.0018700486212641528;0.0005440141443677535;0.0006120159124137227;0.0;0.0004760123763217844;0.000680017680459692;0.0002040053041379076;0.0007140185644826765;0.00013600353609193838;0.0;0.0;0.0
Heerlen;0.18968576498197012;0.23022914162516933;0.3168297941350428;0.07893079961078359;0.10409631198366817;0.03041230229141625;0.013679812260317097;0.008051437620437678;0.016293667601549235;0.0007822486787629024;0.002900043882242955;0.0019842405510083374;0.0036441340888710818;0.0011829126361780475;0.0005342186098868601;0.0;0.0004960601377520844;0.0;0.0;0.00026710930494343007;0.0;0.0;0.0;0.0
Heeze-Leende;0.4354855425432687;0.1294434656441082;0.14436729194735207;0.16664939371955642;0.047776971706912634;0.028811275779873562;0.01150378277541714;0.014405637889936781;0.013058348015338377;0.0007254637786299099;0.0032127681625038866;0.001658202922582651;0.001347289874598404;0.0;0.00041455073064566275;0.0;0.0006218260959684941;0.0;0.00020727536532283138;0.00031091304798424707;0.0;0.0;0.0;0.0
