RegioNaam;CDA;Partij van de Arbeid;VVD;SP;Lijst Pim Fortuyn;GL;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Diemen;0.1711848478276585;0.3018145015542543;0.2298127665726885;0.06614617219692041;0.07988144292633557;0.06723053567555845;0.05761584616496783;0.008602616930528446;0.0006506180871828237;0.006217017277524759;0.006289308176100629;0.001445817971517386;0.0013012361743656475;0.000722908985758693;0.0007951998843345623;0.00021687269572760788;0.0;7.22908985758693e-05;0.0
Dinkelland;0.64310334754922;0.14231465794239645;0.12052345621312145;0.02535491032307063;0.025179645965998716;0.02073961558684349;0.01647484956476018;0.002044750832505696;5.84214523573056e-05;0.0;0.002044750832505696;0.0012852719518607232;0.000292107261786528;0.0;0.000292107261786528;0.000292107261786528;0.0;0.0;0.0
Dinxperlo;0.46884796238244514;0.2713557993730408;0.11383228840125392;0.044866771159874606;0.030760188087774296;0.028996865203761754;0.019004702194357365;0.01293103448275862;0.0005877742946708464;0.003134796238244514;0.00274294670846395;0.001567398119122257;0.0009796238244514106;0.00039184952978056425;0.0;0.0;0.0;0.0;0.0
Dirksland;0.2819341328764515;0.20102798400913763;0.13249571673329527;0.03712164477441462;0.0649152865029507;0.01656196459166191;0.018084903864458404;0.04511707595659623;0.18979630687226348;0.007805063773082048;0.003807348181991243;0.0007614696363982486;0.0;0.0;0.0003807348181991243;0.0;0.0;0.00019036740909956216;0.0
Doesburg;0.22543267820475213;0.34203578762100323;0.1534174244646524;0.12716339102376065;0.04429451452038721;0.03842769140510414;0.04136110296274567;0.012907010853622763;0.0019067175124669992;0.005280140803754767;0.0033734232912877677;0.0023467292461132297;0.0008800234672924611;0.0007333528894103843;0.00014667057788207686;0.0;0.0;0.0002933411557641537;0.0
Doetinchem;0.2775717945260887;0.328063907240124;0.17085748955103142;0.06127814480248079;0.0374140488067952;0.053795335041121745;0.03717810435486046;0.013853309963597142;0.008022111365781313;0.004685182688418498;0.003640285829850344;0.001483079412161251;0.0007752460563570176;0.000943777807738978;0.00020223810165835243;0.00020223810165835243;0.0;3.370635027639207e-05;0.0
Dongen;0.34199076243389787;0.24151549635183078;0.16801660084342995;0.1052279269027378;0.04812905816989089;0.03608005890621862;0.03715108106298949;0.006158377401432492;0.0019412276591471986;0.004217149742285294;0.005020416359863444;0.002008166543945378;0.0009371443871745097;0.00026775553919271706;0.0005355110783854341;0.0006024499631836134;6.693888479817926e-05;0.00013387776959635853;0.0
Dongeradeel;0.5112695049123483;0.21562961535991781;0.07654273421948243;0.04764656777756373;0.03326269825980864;0.03551017787195788;0.01695241764592564;0.047710781480767996;0.0053939510691581585;0.0032106851602131895;0.004880241443524048;0.0010274192512682205;0.0007063507352469017;6.421370320426378e-05;0.00012842740640852757;0.0;0.0;6.421370320426378e-05;0.0
Doorn;0.3024756189047262;0.18439609902475618;0.27651912978244564;0.03840960240060015;0.03840960240060015;0.053713428357089275;0.05446361590397599;0.018454613653413353;0.026106526631657915;0.0049512378094523635;0.0006001500375093774;0.0003000750187546887;0.0012003000750187547;0.0;0.0;0.0;0.0;0.0;0.0
Dordrecht;0.21873957985995332;0.2995695534875261;0.17842311073388098;0.06333929491648731;0.07987510988511322;0.050895753129831155;0.040255842856709814;0.027236351511109765;0.023598775349358878;0.006396071417745309;0.004016490345266604;0.0010306465791627513;0.0014701870320409833;0.0032131922762132833;0.0004850101549001182;0.0007729849343720634;0.00034860104883445995;0.00012125253872502955;0.00021219194276880172
Drechterland;0.38031007751937984;0.19116279069767442;0.22093023255813954;0.0462015503875969;0.0641860465116279;0.045116279069767444;0.03255813953488372;0.004496124031007752;0.0010852713178294573;0.004341085271317829;0.005891472868217054;0.0018604651162790699;0.0010852713178294573;0.0001550387596899225;0.000310077519379845;0.0;0.0;0.000310077519379845;0.0
