RegioNaam;Partij van de Arbeid;VVD;CDA;Democraten 66;GL;SP;Reformatorische Politieke Federatie;Staatkundig Gereformeerde Partij;Gereformeerd Politiek Verbond;Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Ubbergen;0.3176895306859206;0.23482894963039366;0.22021660649819494;0.09128416709644147;0.08475159016675263;0.02784940691077875;0.0013752793536187038;0.0006876396768093519;0.0017190991920233798;0.0;0.0025786487880350697;0.0037820182224514356;0.0029224686264397457;0.0029224686264397457;0.0039539281416537736;0.0006876396768093519;0.0005157297576070139;0.0012033694344163659;0.0;0.00034381983840467596;0.0005157297576070139;0.00017190991920233798
Uden;0.2418191372474084;0.26685138298380545;0.2279176420006688;0.07586108059045527;0.048058090096976064;0.10987436105670473;0.002484115989108107;0.0006688004586060288;0.0019108584531600822;0.004108345674294176;0.0021974872211340947;0.003965031290307171;0.00348731667701715;0.0036784025223331584;0.0015764582238570678;0.002054172837147088;0.0009554292265800411;0.0015764582238570678;0.0007165719199350308;0.0;0.00014331438398700616;9.55429226580041e-05
Uitgeest;0.2877643504531722;0.30241691842900303;0.14577039274924472;0.11570996978851963;0.0823262839879154;0.02462235649546828;0.00256797583081571;0.00030211480362537764;0.0022658610271903325;0.003474320241691843;0.00906344410876133;0.0075528700906344415;0.004078549848942598;0.003474320241691843;0.002416918429003021;0.0021148036253776435;0.001963746223564955;0.00015105740181268882;0.0;0.0009063444108761329;0.00030211480362537764;0.0007552870090634441
Uithoorn;0.2196738353583263;0.39685530504840494;0.14911311805600674;0.10246247807160029;0.06646741602235072;0.015983366902735364;0.009745955428497174;0.0011695146514196608;0.0031187057371190956;0.003703463062828926;0.004678058605678643;0.010785524007536872;0.00558768111233838;0.004418166460918718;0.0013644337599896044;0.002468975375219284;0.0007147033980897927;0.0005847573257098304;0.0;0.00038983821713988695;0.0004548112533298681;0.00025989214475992465
Urk;0.013282482903734877;0.027880063124671225;0.27485533929510786;0.0024986849026827984;0.0038137822198842713;0.003156233561283535;0.23408732246186217;0.33929510783798;0.09113624408206207;0.005523408732246186;0.00039452919516044186;0.0013150973172014729;0.0002630194634402946;0.001841136244082062;0.0;0.0;0.0005260389268805891;0.0;0.0;0.0;0.0001315097317201473;0.0
Utrecht;0.2921562144683047;0.201541823577321;0.09620269496568798;0.15206960785104306;0.15744018579296665;0.04706110040400294;0.010289575756598312;0.003128805167366885;0.006814021562951076;0.008765492827133514;0.004056157214395729;0.003572321363771984;0.0046528880968316816;0.0016047222379020878;0.004120668661145562;0.001822448370682773;0.00114507817980953;0.0015079550677773387;0.0007983291535291794;0.0006934980525607012;0.0003628768879678088;0.00019353434024949802
Vaals;0.3926962295470714;0.16338629357363055;0.26322029879060943;0.05335546597106948;0.05098411192791084;0.028456248517903723;0.0035570310647379654;0.0;0.001897083234526915;0.00758833293810766;0.009722551576950438;0.003319895660422101;0.006639791320844202;0.0023713540431586438;0.0016599478302110505;0.003319895660422101;0.005216978894949016;0.00023713540431586437;0.0009485416172634575;0.00047427080863172874;0.00047427080863172874;0.00047427080863172874
Valburg;0.25243236038917766;0.23923763827802214;0.23897107823537253;0.08103425296548047;0.059576169532187126;0.02772224443555911;0.020525123284019727;0.048513927762228445;0.006664001066240171;0.0059976009596161535;0.001599360255897641;0.004931360789017726;0.001999200319872051;0.004664800746368119;0.0018659202985472478;0.0017326402772224444;0.0005331200852992136;0.0001332800213248034;0.0010662401705984273;0.0002665600426496068;0.00039984006397441024;0.0001332800213248034
Valkenburg;0.15834522111269614;0.28863528292914886;0.28815977175463625;0.04897765097479791;0.04184498335710889;0.010936757013789824;0.05896338563956253;0.021873514027579647;0.05991440798858773;0.004755111745126011;0.0033285782215882074;0.0038040893961008085;0.0038040893961008085;0.0023775558725630053;0.0009510223490252021;0.0019020446980504042;0.0;0.0;0.0;0.00047551117451260106;0.00047551117451260106;0.00047551117451260106
Valkenburg aan de Geul;0.2016706443914081;0.19634661281439325;0.39746649531852396;0.06241968055810538;0.053791077657426106;0.05920690288232054;0.0014686983660730677;0.0002753809436387002;0.0012851110703139342;0.005507618872774004;0.004865063337617037;0.002294841196989168;0.0026620157885074353;0.001652285661832201;0.0012851110703139342;0.003855333210941803;0.0024784284927483018;0.0002753809436387002;0.00045896823939783367;0.0002753809436387002;0.00018358729575913347;0.0002753809436387002
Valkenswaard;0.32021582311887864;0.2610404081872031;0.19582429183039118;0.07600727230074482;0.06404316462377573;0.045217289308544954;0.0036947979590639846;0.00011729517330361856;0.0007624186264735206;0.007448243504779778;0.0029910269192422734;0.007565538678083397;0.006040701425136356;0.0028150841592868452;0.0013488944929916135;0.0018180751862060876;0.001700780012902469;5.864758665180928e-05;0.0009970089730807576;0.0;0.00011729517330361856;0.00017594275995542783
Veendam;0.46759466189898474;0.18887682778877465;0.12151203626843753;0.06423600025541153;0.052550922674158736;0.038503288423472316;0.017048719749696697;0.0006385288295766554;0.013409105421109763;0.0065768469446395505;0.01475001596322074;0.0038950258604175977;0.002617968201264287;0.0019155864887299662;0.0015324691909839728;0.0012770576591533108;0.0001915586488729966;0.0005746759466189899;0.0;0.0021709980205606282;0.0001277057659153311;0.0
Veenendaal;0.19332487859197625;0.23239197005784282;0.19357233443657398;0.06034829410127131;0.04862507346345386;0.012713044016208357;0.11766525410622042;0.08926969593863095;0.029818429274026417;0.006093600173219091;0.002474558445977296;0.0061554641343685235;0.0017631228927588232;0.0022889665625289986;0.0011444832812644993;0.0006805035726437564;0.0003402517863218782;0.0003711837668965944;0.0004949116891954592;0.0002165238640230134;0.0001237279222988648;0.0001237279222988648
Veere;0.18886061634153237;0.24392140231834888;0.22179813401187448;0.06700593723494487;0.05025445292620865;0.014206955046649703;0.046861747243426635;0.12397512015832626;0.01964942041277919;0.0031099802092168505;0.004947695787390444;0.005230421260955612;0.002473847893695222;0.0029686174724342664;0.0011309018942606728;0.0018377155781735934;0.0004947695787390444;0.0002827254735651682;0.0005654509471303364;0.0003534068419564603;7.068136839129205e-05;0.0
Veghel;0.26676384839650147;0.24078508954602248;0.29872969596001664;0.06528529779258642;0.05211370262390671;0.042430237401082885;0.0020304039983340275;0.00036443148688046647;0.0013015410245730945;0.006559766763848397;0.003123698458975427;0.005414410662224073;0.004529362765514369;0.0039046230737192836;0.001405664306538942;0.0013015410245730945;0.0005206164098292378;0.0015097875885047897;0.0015618492294877135;0.0;0.00015618492294877136;0.00020824656393169514
Veldhoven;0.28802732555560484;0.261367164973606;0.21212793328305904;0.08827573969746706;0.05513906755977465;0.05531650623253338;0.006210353546555472;0.0006653950228452291;0.0017300270593975956;0.00616599387836579;0.0042585281462094665;0.005323160182761833;0.005678037528279289;0.0024397817504325067;0.0007097546910349111;0.002395422082242825;0.0009759127001730027;0.0010646320365523666;0.001641307723018232;0.0;0.0003105176773277736;0.00017743867275872777
Velsen;0.3095356688250595;0.2994354972605014;0.13476119320382976;0.0913442913276883;0.07172505395982069;0.026232774364934416;0.016547678344125297;0.0022414079362443966;0.009657424317892523;0.005894072721235264;0.005534340583319497;0.009629752614975926;0.008190824063312856;0.0027394985887431514;0.002158392827494604;0.0017986606895788366;0.0008854944933311196;0.0003874038408323648;0.0;0.0009961813049975095;0.00016603021749958492;0.00013835851458298743
Venhuizen;0.2297029702970297;0.36237623762376237;0.21056105610561057;0.09394939493949395;0.049944994499449946;0.013421342134213421;0.0039603960396039604;0.0006600660066006601;0.0008800880088008801;0.005940594059405941;0.0044004400440044;0.006160616061606161;0.005280528052805281;0.00572057205720572;0.0019801980198019802;0.0017601760176017601;0.0017601760176017601;0.0;0.0;0.0011001100110011;0.0;0.00044004400440044003
Venlo;0.25958199567581736;0.2600406211098735;0.24241630085828475;0.06935071742121471;0.08835091397497216;0.035314158422328504;0.0025224398873091793;0.00036034855532988275;0.001998296534102077;0.013988075738714538;0.004258664744807705;0.003046583240516281;0.007534560702352093;0.0009827687872633166;0.001441394221319531;0.0023914040490074034;0.0023914040490074034;0.0020310554936775207;0.001081045665989648;0.0004258664744807705;0.00029483063617899495;0.0001965537574526633
Venray;0.277992277992278;0.20870577034960597;0.30628867615168986;0.07970592902099752;0.06283387105304913;0.03395567779129423;0.001057809276987359;0.00042312371079494365;0.001057809276987359;0.005024594065689956;0.0043370180356481726;0.0031205373671127096;0.0032263182948114454;0.002803194584016502;0.0016924948431797746;0.0022742899455228224;0.0026445231924683977;0.0008991378854392553;0.0010049188131379912;0.00021156185539747182;0.00021156185539747182;0.0005289046384936795
Vianen;0.2779947916666667;0.26869419642857145;0.18526785714285715;0.08426339285714286;0.06063988095238095;0.025018601190476192;0.022135416666666668;0.037760416666666664;0.004836309523809524;0.007068452380952381;0.00427827380952381;0.007161458333333333;0.0033482142857142855;0.004650297619047619;0.0018601190476190475;0.0018601190476190475;0.0011160714285714285;0.0003720238095238095;0.0003720238095238095;0.000744047619047619;0.0003720238095238095;0.00018601190476190475
Vlaardingen;0.32547135116581266;0.2481918258268566;0.12499080589403487;0.07752470149802633;0.06820800745335523;0.06882094785103096;0.022580724250373895;0.02049672689827641;0.011425209012675607;0.007919189937970432;0.007232696692573614;0.0051732169563831615;0.004192512320101993;0.0018143035771201609;0.001446539338514723;0.0012013631794444309;0.0006374580135827592;0.0005639051658616716;0.001348468874886606;0.0002696937749773212;0.0001716233113492044;0.0003187290067913796
Vlagtwedde;0.4055888675189501;0.17501979861975336;0.22921144925896594;0.042425613757212356;0.04706414752800091;0.03360108609571218;0.028962552324923632;0.0014707546102500284;0.005656748500961648;0.007240638081230908;0.007014368141192442;0.004412263830750085;0.0033940491005769883;0.0038465889806539202;0.0013576196402307953;0.0012444846702115624;0.0005656748500961647;0.0;0.0;0.001810159520307727;0.00011313497001923294;0.0
Vleuten-De Meern;0.20809390904613365;0.3439500902971597;0.21137744212772944;0.10137908389427024;0.05549170907896897;0.02167131833853226;0.01050730586110655;0.007305861106550649;0.009358069282548022;0.006731242817271384;0.003529798062715482;0.0050894762764734855;0.005910359546872435;0.004268593006074536;0.0011492365785585289;0.0016417665407978984;0.0009029715974388442;0.0005746182892792644;0.0006567066163191594;0.00016417665407978985;0.00016417665407978985;8.208832703989493e-05
Vlieland;0.2682425488180884;0.3699897225077081;0.09455292908530319;0.12538540596094552;0.08119218910585817;0.015416238437821172;0.014388489208633094;0.0;0.011305241521068859;0.0;0.0020554984583761563;0.0;0.006166495375128468;0.003083247687564234;0.0051387461459403904;0.0020554984583761563;0.0;0.0;0.0;0.0010277492291880781;0.0;0.0
Vlissingen;0.31868373586731774;0.2492631208481809;0.12639127183141965;0.07997888346311205;0.06937662223395363;0.06453741586379834;0.025955743258105672;0.0186529409176895;0.010074347806959658;0.0063789538515683425;0.011306145792090097;0.005939025999736044;0.004575249659055915;0.0014517619110465884;0.0013197835554968984;0.0015397474814130483;0.0007478773481149092;0.0012757907703136685;0.001759711407329198;0.0005719062073819894;0.00021996392591614976;0.0
Vlist;0.2231296961777197;0.2868343678536426;0.20124142437112055;0.07350539039529566;0.03136229990199281;0.017314603070891867;0.049656974844821955;0.09016661221822933;0.006697157791571382;0.0053903952956550144;0.0022868343678536427;0.005063704671675923;0.002123489055864097;0.0035935968637700096;0.0004900359359686377;0.0001633453119895459;0.0006533812479581836;0.0;0.0;0.0001633453119895459;0.0;0.0001633453119895459
