RegioNaam;VVD;Partij van de Arbeid;PVV;CDA;SP;Democraten 66;GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij;Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit;Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Leiderdorp;0.26207879088206143;0.1874380574826561;0.13119425173439048;0.11508919722497522;0.0738974231912785;0.102205153617443;0.07575569871159564;0.020688800792864222;0.00854806739345887;0.013813181367690783;0.004150148662041626;0.0019202180376610505;0.0014246778989098117;0.0013627353815659068;0.0003097125867195243;0.0;0.0001238850346878097;0.0
Leidschendam-Voorburg;0.27530858403341624;0.16811376542920167;0.14605528699488432;0.12324588163514338;0.07009433519500634;0.10111700380156756;0.06885061247477355;0.01579293190031445;0.0034495705636645234;0.01661425822499648;0.005491153142159854;0.0032853052987281174;0.001149856854554841;0.0008213263246820294;0.00023466466419486554;0.0001407987985169193;0.00023466466419486554;0.0
Lelystad;0.23635607969452166;0.20744473595345092;0.19289814790762916;0.07291477257968153;0.10161830792009767;0.05203002831389459;0.06179702314466062;0.03730160791750006;0.005039353715873964;0.01737797750474063;0.008000623425201964;0.0038964075122736837;0.001714419305400421;0.0008052575525365613;0.0001298802504091228;0.0003117126009818947;0.0;0.0003636647011455438
Lemsterland;0.23478587528174305;0.19847232657150013;0.14287503130478338;0.17129977460555973;0.1046831955922865;0.046831955922865015;0.04420235411970949;0.03193087903831705;0.004883546205860256;0.009767092411720512;0.004257450538442274;0.004257450538442274;0.0006260956674179815;0.0006260956674179815;0.0;0.0003756574004507889;0.0;0.00012521913348359628
Leudal;0.18872078317485597;0.11326057426577357;0.2404328071572439;0.22108763876528176;0.11396318328727341;0.04646587662185583;0.046137992411822565;0.005995596983465267;0.0003747248114665792;0.012225396974097148;0.006182959389198557;0.0030446390931659563;0.0008431308257998033;0.00046840601433322405;0.0002810436085999344;9.36812028666448e-05;0.00042156541289990165;0.0
Leusden;0.28142682791523355;0.15472095861533341;0.09996671474536781;0.14745367802063686;0.06817929657161877;0.08476644846333074;0.07350493731277044;0.053644735382225674;0.014867413735715079;0.011095084877399313;0.00338400088760679;0.004382558526572728;0.0010540330633529347;0.0005547542438699656;0.0003883279707089759;0.00033285254632197937;0.0002773771219349828;0.0
Liesveld;0.18342299932750505;0.11600537995965031;0.11768661735036987;0.20527908540685944;0.05379959650302623;0.027236045729657026;0.02488231338264963;0.1383658372562206;0.11735036987222595;0.0070611970410221925;0.005884330867518494;0.0011768661735036988;0.0003362474781439139;0.0010087424344317419;0.00016812373907195696;0.00016812373907195696;0.00016812373907195696;0.0
Lingewaal;0.21711213976407345;0.16141555920561446;0.1705241152754965;0.18067791548454532;0.06017619829774526;0.03673286546214723;0.03688218605345677;0.07197252501119905;0.04330297147976706;0.011497685530834701;0.0062714648350007465;0.0013438853217858744;0.00029864118261908315;0.001045244139166791;0.00029864118261908315;0.0;0.0004479617739286248;0.0
Lingewaard;0.2249198180055195;0.1743865145073469;0.15931975833519804;0.1743865145073469;0.11337361080032819;0.06504065040650407;0.062019840381890054;0.007123144625941672;0.0008950548221078541;0.009696427239501752;0.004810919668829716;0.0020511673006638324;0.00041023346013276644;0.0009696427239501752;0.00018646975460580293;0.0;0.00022376370552696352;0.00018646975460580293
Lisse;0.2823434874716926;0.12068083862955657;0.14171962889911607;0.17568850902184235;0.06808386295565783;0.0688143765066842;0.04646066184527723;0.02571407699612828;0.04602235371466141;0.01307619256337205;0.005990211118416247;0.0030681569143107606;0.0006574621959237344;0.000949667616334283;7.305135510263716e-05;0.0003652567755131858;0.00029220542041054863;0.0
