RegioNaam;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid;GL;SP;Democraten 66;ChristenUnie;Staatkundig Gereformeerde Partij;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Arnhem;0.19690186246418337;0.15396029471960704;0.14602947196070407;0.19036532951289398;0.1200496316004912;0.08703438395415473;0.06512228817028244;0.015516270978305362;0.0014454564060581252;0.014224314367580843;0.0034153704461727385;0.002328080229226361;0.0029676627097830538;0.0004988743348342202;0.00014070814572247236;0.0
Assen;0.21529057109361915;0.10992016970914978;0.14310835705911906;0.23429911237648635;0.0851895271590465;0.06302685200692235;0.054234354937754706;0.07363367386814046;0.0038798637860771507;0.011890805560207671;0.0029308323563892145;0.0012002456316641545;0.0007257299168201864;0.0005303410930609055;0.00013956344554234354;0.0
Asten;0.4496684749849307;0.15430982519590114;0.13863773357444242;0.09121961020695198;0.05304400241109102;0.053546313039983924;0.03455897126783203;0.0014064697609001407;0.0004018485031143259;0.016676712879244524;0.0039180229053646775;0.0006027727546714888;0.0;0.001908780389793048;0.00010046212577858148;0.0
Axel;0.32419495213228894;0.18218740934145633;0.1312735712213519;0.13301421525964607;0.04569190600522193;0.03191180736872643;0.034667827096025526;0.07977951842181608;0.013635044966637656;0.0168262257035103;0.004786771105308964;0.0;0.0010153756890049319;0.000725268349289237;0.0002901073397156948;0.0
Baarle-Nassau;0.434903748733536;0.1955420466058764;0.14412360688956433;0.08611955420466058;0.041033434650455926;0.04305977710233029;0.03419452887537994;0.00303951367781155;0.0007598784194528875;0.011904761904761904;0.0035460992907801418;0.00025329280648429586;0.0007598784194528875;0.00025329280648429586;0.0005065856129685917;0.0
Baarn;0.2597376788553259;0.16077106518282988;0.20455749867514572;0.13089560148383678;0.06842872284048755;0.05537890832008479;0.05802861685214626;0.03351881293057764;0.007816640169581345;0.01523582405935347;0.0040408055113937465;0.0005961844197138314;0.000397456279809221;0.0005961844197138314;0.0;0.0
Barendrecht;0.2726553409355364;0.23867814754479869;0.165790086106586;0.09611356760530602;0.03919013265068653;0.038212706539446126;0.04598557132883407;0.03444263439609029;0.049150570165231555;0.015778450081452174;0.0022806609262276006;0.000605073306958343;0.00046544100535257155;0.0004188969048173144;0.00023272050267628578;0.0
Barneveld;0.3749005568814638;0.1237735348713869;0.09947626624237603;0.057279236276849645;0.023137098912755238;0.02028639618138425;0.018993635640413682;0.08631662688941925;0.18194775921506232;0.010839299920445505;0.0018894192521877486;0.0005635110050384514;0.0001988862370723946;0.00026518164942985947;0.00013259082471492973;0.0
Bathmen;0.32158836689038034;0.10067114093959731;0.24720357941834453;0.1644295302013423;0.05564876957494407;0.0366331096196868;0.05229306487695749;0.003355704697986577;0.0002796420581655481;0.013982102908277404;0.002796420581655481;0.0005592841163310962;0.0;0.0002796420581655481;0.0002796420581655481;0.0
Bedum;0.3759898190045249;0.08781108597285067;0.09205316742081449;0.1600678733031674;0.05542986425339366;0.041289592760180995;0.04638009049773756;0.11891968325791855;0.008201357466063349;0.011453619909502262;0.0012726244343891403;0.0002828054298642534;0.0004242081447963801;0.0002828054298642534;0.0001414027149321267;0.0
