RegioNaam;VVD;PVV;CDA;Democraten 66;GROENLINKS;SP;Partij van de Arbeid;ChristenUnie;Partij voor de Dieren;50PLUS;Staatkundig Gereformeerde Partij;DENK;Forum voor Democratie;VNL;Piratenpartij;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij;MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Parti 
Borger-Odoorn;0.19336202322702353;0.14855862760124977;0.12951718446029595;0.0898425985969463;0.0640806461121264;0.14348876967517538;0.08783823616105642;0.0384365973000059;0.027648411248010374;0.036078523846017806;0.007310027707363084;0.0;0.019925720686199376;0.0033602546719330305;0.002770736308436008;0.0;0.0012969403996934505;0.0014737959087425573;0.0027117844720863054;0.0;0.0012969403996934505;0.00041266285444791607;0.0;0.0003537110180982138;0.00023580734539880918;0.0;0.0;0.0
Borne;0.22777222777222778;0.10915750915750916;0.23816183816183817;0.12247752247752247;0.06340326340326341;0.1002997002997003;0.051615051615051616;0.015517815517815519;0.016516816516816517;0.02311022311022311;0.002197802197802198;0.00352980352980353;0.016317016317016316;0.0033966033966033966;0.00313020313020313;0.0;0.000999000999000999;0.0007326007326007326;0.0007326007326007326;0.000333000333000333;0.0002664002664002664;0.0002664002664002664;0.0;6.66000666000666e-05;0.0;0.0;0.0;0.0
Borsele;0.19009463286592526;0.11397388961801479;0.16985563307315052;0.0708710368170201;0.04593493127029081;0.0779857705325689;0.04386267873178144;0.03502106790080818;0.024797955377495337;0.03391586654693652;0.1657111279961318;0.0002763003384679146;0.01740692132347862;0.00359190440008289;0.002970228638530082;0.0002763003384679146;0.00041445050770187194;0.0008289010154037439;0.0006907508461697865;0.0;0.0004835255923188506;0.0008289010154037439;0.0;6.907508461697865e-05;0.0001381501692339573;0.0;0.0;0.0
Boxmeer;0.2018657287046949;0.09853698322883213;0.17413467910485803;0.09573329255237804;0.054697456287913546;0.27557730539837894;0.03308354998215833;0.005301524188204109;0.015139929652852118;0.01799459652342356;0.001019523882346944;0.004791762247030637;0.011520619870520468;0.0031605240352755265;0.003058571647040832;5.09761941173472e-05;0.0008665952999949024;0.001529285823520416;0.0004078095529387776;0.00045878574705612477;0.00045878574705612477;0.0003568333588214304;0.0;5.09761941173472e-05;0.0001529285823520416;0.0;5.09761941173472e-05;0.0
Boxtel;0.22907063993997212;0.1235930967949405;0.13458034087254797;0.13329402937077928;0.08511094436702756;0.14342373244720763;0.04984457069353628;0.008575410011791188;0.024815092721620753;0.030496301854432414;0.0009647336263265087;0.010397684639296816;0.014256619144602852;0.003162182441848001;0.003054989816700611;0.0003215778754421696;0.000803944688605424;0.001500696752063458;0.000750348376031729;0.0008575410011791188;0.0003751741880158645;0.0003215778754421696;0.0;0.00010719262514738985;0.00026798156286847463;0.0;5.359631257369493e-05;0.0
Breda;0.27271740212267354;0.11544412374118945;0.09498647315894716;0.14954624008107056;0.10465884311578795;0.09498647315894716;0.04818088869988509;0.00997095574596683;0.03364971362908407;0.02507215823237213;0.0014295925661186562;0.019290451588385917;0.01617792093810226;0.003085386487635834;0.004180201047764678;0.001103862614344785;0.001375304240823011;0.0010948145601288443;0.0009319495842419088;0.0005157390903086291;0.0003981143855013979;0.0003981143855013979;0.00028953773491010757;0.000325729951773871;0.00011762470480723121;0.0;7.238443372752689e-05;0.0
Brielle;0.2852757966958563;0.17730432427552587;0.10851313532544912;0.0965062742619843;0.05452739911528392;0.08603412476302248;0.05461767626613704;0.01363184977882098;0.029701182630676178;0.037826126207456894;0.004513857542655954;0.0014444344136499052;0.031777557100297914;0.005416629051187145;0.0031597002798591676;0.00045138575426559535;0.003701363184977882;0.0019860973187686196;0.0005416629051187144;0.0007222172068249526;0.0010833258102374288;0.0003611086034124763;0.0005416629051187144;9.027715085311908e-05;9.027715085311908e-05;0.0;0.00018055430170623815;0.0
Bronckhorst;0.2573673070661022;0.09170465646369261;0.2127564311299251;0.11600455877564311;0.06048518397915988;0.09247802018886356;0.059711820253988926;0.020840117225659396;0.024096385542168676;0.029876261803972647;0.009158254640182351;0.00101758384890915;0.013269293389775318;0.0032562683165092803;0.001465320742429176;0.00040703353956366003;0.0011396939107782482;0.0017909475740801042;0.0006919570172582221;0.00024422012373819603;0.0005698469553891241;0.00012211006186909801;0.000529143601432758;0.00024422012373819603;0.00020351676978183002;0.0004884402474763921;8.140670791273201e-05;0.0
Brummen;0.2312585845442059;0.12065350972312586;0.12376201836188824;0.1207980915202776;0.08327911515940144;0.10887009325525916;0.07756813417190776;0.017783561049663846;0.029350104821802937;0.035205667606448346;0.00412058121882455;0.019301669919757104;0.01547025229523603;0.003975999421672811;0.0024578905515795562;0.0001445817971517386;0.0011566543772139088;0.0013735270729415166;0.0008674907829104315;0.0005783271886069544;0.0005783271886069544;0.000506036290031085;0.0001445817971517386;0.0001445817971517386;7.22908985758693e-05;0.0005783271886069544;0.0;0.0
Brunssum;0.12821248279027075;0.2645135383203304;0.11203533731069298;0.0723955943093162;0.054440110142267094;0.18494722349701698;0.042393299678751724;0.012792565396971088;0.03310004589261129;0.05478430472693896;0.002581459385039009;0.005048187241854061;0.018471776044056906;0.00424506654428637;0.0033845800826067004;0.0010325837540156035;0.0016636071592473613;0.0015488756310234053;0.0;0.0009178522257916476;0.0006883891693437356;0.0004015603487838458;0.0;0.0002868288205598899;0.00011473152822395595;0.0;0.0;0.0
Bunnik;0.24398558488360766;0.07772474919645465;0.1455147560144151;0.16557903964157009;0.13265803058342263;0.044998539008473754;0.06671861303204442;0.031947014707314696;0.03019382487581572;0.020064283627154962;0.01568130904840752;0.0013635920911658711;0.013246323171325606;0.0015583909613324242;0.0031167819226648485;0.0007791954806662121;0.0013635920911658711;0.0008765949157494887;0.0;0.00019479887016655303;0.0011687932209993182;0.0006817960455829356;9.739943508327652e-05;0.00029219830524982956;9.739943508327652e-05;9.739943508327652e-05;0.0;0.0
