"Perioden";"aantal"
"Maasbracht";"2002";"13697"
"Maasbree";"2002";"12836"
"Maasdonk";"2002";"11415"
"Maasdriel";"2002";"23576"
"Maasland";"2002";"6845"
"Maassluis";"2002";"32876"
"Maastricht";"2002";"122005"
"Margraten";"2002";"13678"
"De Marne";"2002";"11186"
"Marum";"2002";"10140"
"Medemblik";"2002";"7671"
"Meerlo-Wanssum";"2002";"7675"
"Meerssen";"2002";"20223"
"Meijel";"2002";"5823"
"Menaldumadeel";"2002";"14230"
"Menterwolde";"2002";"12635"
"Meppel";"2002";"30221"
"Middelburg (Z.)";"2002";"45608"
"Middelharnis";"2002";"17224"
"Midden-Drenthe";"2002";"32691"
"Mierlo";"2002";"10267"
"Mill en Sint Hubert";"2002";"11103"
"Millingen aan de Rijn";"2002";"5931"
"Moerdijk";"2002";"36433"
"Monster";"2002";"20239"
"Montfoort";"2002";"13298"
"Mook en Middelaar";"2002";"7947"
"Moordrecht";"2002";"8118"
"Muiden";"2002";"6726"
"Naaldwijk";"2002";"28928"
"Naarden";"2002";"16960"
"Nederlek";"2002";"14910"
"Nederweert";"2002";"16136"
"Neede";"2002";"11021"
"Neerijnen";"2002";"11406"
"Niedorp";"2002";"11501"
"Nieuwegein";"2002";"62140"
"Nieuwerkerk aan den IJssel";"2002";"22131"
"Nieuwkoop";"2002";"11005"
"Nieuw-Lekkerland";"2002";"9397"
"Nijefurd";"2002";"10924"
"Nijkerk";"2002";"37327"
"Nijmegen";"2002";"154616"
"Noord-Beveland";"2002";"7052"
"Noordenveld";"2002";"31565"
"Noorder-Koggenland";"2002";"10517"
"Noordoostpolder";"2002";"44252"
"Noordwijk";"2002";"24548"
"Noordwijkerhout";"2002";"15253"
"Nuenen, Gerwen en Nederwetten";"2002";"23645"
"Nunspeet";"2002";"26317"
"Nuth";"2002";"16609"
"Obdam";"2002";"6503"
"Oegstgeest";"2002";"21252"
"Oirschot";"2002";"17808"
"Oisterwijk";"2002";"25327"
"Oldebroek";"2002";"22680"
"Oldenzaal";"2002";"31180"
"Olst";"2002";"16979"
"Ommen";"2002";"16890"
"Onderbanken";"2002";"8462"
"Oostburg";"2002";"18188"
"Oosterhout";"2002";"52968"
"Oostflakkee";"2002";"10170"
"Ooststellingwerf";"2002";"26726"
"Oostzaan";"2002";"9062"
"Opmeer";"2002";"11165"
"Opsterland";"2002";"28828"
"Oss";"2002";"67383"
"Oud-Beijerland";"2002";"22597"
"Ouder-Amstel";"2002";"13029"
"Ouderkerk";"2002";"8150"
"Oudewater";"2002";"9699"
"Overbetuwe";"2002";"40284"
"Papendrecht";"2002";"30276"
"Pekela";"2002";"13599"
"Pijnacker-Nootdorp";"2002";"35123"
"Purmerend";"2002";"73476"
"Putten";"2002";"23161"
"Raalte";"2002";"36632"
"Ravenstein";"2002";"8466"
"Reeuwijk";"2002";"12898"
"Reiderland";"2002";"7025"
"Reimerswaal";"2002";"20831"
"Renkum";"2002";"32250"
"Renswoude";"2002";"4138"
"Reusel-De Mierden";"2002";"12429"
"Rheden";"2002";"44831"
"Rhenen";"2002";"17529"
"Ridderkerk";"2002";"46196"
"Rijnsburg";"2002";"14891"
"Rijnwaarden";"2002";"11203"
"Rijnwoude";"2002";"19147"
"Rijssen";"2002";"35637"
"Rijswijk (ZH.)";"2002";"48803"
"Roerdalen";"2002";"10512"
"Roermond";"2002";"45332"
"Roggel en Neer";"2002";"8470"
"De Ronde Venen";"2002";"34416"
"Roosendaal";"2002";"77640"
"Rotterdam";"2002";"598660"
"Rozenburg";"2002";"13291"
"Rozendaal";"2002";"1529"
"Rucphen";"2002";"22601"
"Ruurlo";"2002";"8336"
"Sas van Gent";"2002";"8590"
"Sassenheim";"2002";"14766"
"Schagen";"2002";"17214"
"Scheemda";"2002";"14349"
"Schermer";"2002";"4891"
"Scherpenzeel";"2002";"9073"
"Schiedam";"2002";"76576"
"Schiermonnikoog";"2002";"1025"
"Schijndel";"2002";"23441"
"Schinnen";"2002";"13680"
"Schipluiden";"2002";"11170"
"Schoonhoven";"2002";"12109"
"Schouwen-Duiveland";"2002";"34503"
"Sevenum";"2002";"7246"
"Simpelveld";"2002";"11418"
"Sint Anthonis";"2002";"11748"
"Sint-Michielsgestel";"2002";"27975"
"Sint-Oedenrode";"2002";"17113"
"Sittard-Geleen";"2002";"97953"
"Skarsterlân";"2002";"27239"
"Sliedrecht";"2002";"23807"
"Slochteren";"2002";"15026"
"Sluis-Aardenburg";"2002";"6567"
"Smallingerland";"2002";"53493"
"Sneek";"2002";"32504"
"Soest";"2002";"44705"
"Someren";"2002";"18480"
"Son en Breugel";"2002";"14805"
"Spijkenisse";"2002";"75147"
"Stadskanaal";"2002";"33632"
"Staphorst";"2002";"15438"
"Stede Broec";"2002";"21128"
"Steenbergen";"2002";"23390"
"Steenderen";"2002";"5037"
"Steenwijk";"2002";"41870"
"Stein (L.)";"2002";"26520"
"Strijen";"2002";"9314"
"Susteren";"2002";"13035"
"Swalmen";"2002";"8627"
"Terneuzen";"2002";"34572"
"Terschelling";"2002";"4769"
"Texel";"2002";"13728"
"Tholen";"2002";"23884"
"Thorn";"2002";"2584"
"Tiel";"2002";"40205"
"Tilburg";"2002";"197358"
"Tubbergen";"2002";"20161"
"Tynaarlo";"2002";"31865"
"Tytsjerksteradiel";"2002";"31413"
"Ubbergen";"2002";"9261"
"Uden";"2002";"40014"
"Uitgeest";"2002";"11768"
"Uithoorn";"2002";"26423"
"Urk";"2002";"16489"
"Utrecht (gemeente)";"2002";"260625"
"Vaals";"2002";"10732"
"Valkenburg (ZH.)";"2002";"3763"
"Valkenburg aan de Geul";"2002";"17834"
"Valkenswaard";"2002";"31163"
"Veendam";"2002";"28304"
"Veenendaal";"2002";"60669"
"Veere";"2002";"21985"
"Veghel";"2002";"36428"
"Veldhoven";"2002";"42718"
"Velsen";"2002";"67407"
"Venhuizen";"2002";"7863"
"Venlo";"2002";"91400"
"Venray";"2002";"38630"
"Vianen";"2002";"19443"
"Vlaardingen";"2002";"73935"
"Vlagtwedde";"2002";"16558"
"Vlieland";"2002";"1183"
"Vlissingen";"2002";"45416"
"Vlist";"2002";"9779"
"Voerendaal";"2002";"13163"
"Voorhout";"2002";"14315"
"Voorschoten";"2002";"22558"
"Voorst";"2002";"23736"
"Vorden";"2002";"8535"
"Vriezenveen";"2002";"33367"
"Vught";"2002";"25610"
"Waalre";"2002";"16193"
"Waalwijk";"2002";"45453"
"Waddinxveen";"2002";"26884"
"Wageningen";"2002";"33987"
"Warmond";"2002";"5058"
"Warnsveld";"2002";"9121"
"Wassenaar";"2002";"25801"
"Wateringen";"2002";"15989"
"Waterland";"2002";"17172"
"Weert";"2002";"48479"
"Weesp";"2002";"17958"
"Wehl";"2002";"6721"
"Werkendam";"2002";"26239"
"Wervershoof";"2002";"8468"
"West Maas en Waal";"2002";"18241"
"Wester-Koggenland";"2002";"13652"
"Westerveld";"2002";"19158"
"Westervoort";"2002";"16212"
"Weststellingwerf";"2002";"25403"
"Westvoorne";"2002";"14195"
"Wierden";"2002";"23429"
"Wieringen";"2002";"8396"
"Wieringermeer";"2002";"12625"
"Wijchen";"2002";"38830"
"Wijdemeren";"2002";"23331"
"Wijk bij Duurstede";"2002";"23209"
"Winschoten";"2002";"18753"
"Winsum";"2002";"14050"
"Winterswijk";"2002";"28750"
"Wisch";"2002";"19599"
"Woensdrecht";"2002";"21548"
"Woerden";"2002";"47549"
"Wognum";"2002";"8039"
"De Wolden";"2002";"23875"
"Wormerland";"2002";"15467"
"Woudenberg";"2002";"11019"
"Woudrichem";"2002";"14386"
"Wûnseradiel";"2002";"11972"
"Wymbritseradiel";"2002";"16174"
"Zaanstad";"2002";"137669"
"Zaltbommel";"2002";"25759"
"Zandvoort";"2002";"16809"
"Zederik";"2002";"13574"
"Zeevang";"2002";"6330"
"Zeewolde";"2002";"19249"
"Zeist";"2002";"59682"
"Zelhem";"2002";"11169"
"Zevenaar";"2002";"26155"
"Zevenhuizen-Moerkapelle";"2002";"10058"
"Zijpe";"2002";"11316"
"Zoetermeer";"2002";"110500"
"Zoeterwoude";"2002";"8659"
"Zuidhorn";"2002";"18167"
"Zundert";"2002";"20341"
"Zutphen";"2002";"36179"
"Zwartewaterland";"2002";"22178"
"Zwijndrecht";"2002";"41473"
"Zwolle";"2002";"109000"
